,duracion_recorrido,nombre_estacion_origen,nombre_estacion_destino,MES,DIA
3,2472,Plaza Italia,HOSPITAL DE CLÍNICAS,January,22
31,761,PARQUE DEL BAJO,Retiro I,January,04
38,742,Constitución,Plaza Libertad,January,04
40,910,Constitución,AZUCENA VILLAFLOR,January,04
110,1878,Constitución,MACACHA GUEMES,January,20
185,497,Congreso,MANZANA 66,January,16
213,562,Congreso,Independencia,January,25
245,2069,Pacifico,PLAZA SABATTINI,January,01
267,904,Constitución,Parque Lezama,January,05
268,1388,Constitución,Plaza Libertad,January,05
269,1491,Constitución,MACACHA GUEMES,January,05
314,223,PARQUE DEL BAJO,Catedral,January,23
323,1406,Constitución,MACACHA GUEMES,January,23
361,3412,Congreso,VIRREY CEVALLOS,January,18
363,1244,Congreso,MANZANA 66,January,18
364,1119,Constitución,ESTADOS UNIDOS Y BOEDO,January,18
381,509,Constitución,ALSINA,January,13
382,282,PARQUE DEL BAJO,Catedral,January,13
385,9978,Congreso,PARQUE PATRICIOS II,January,13
387,1513,Pacifico,Acuña de Figueroa,January,13
401,8686,PARQUE DEL BAJO,PARQUE DEL BAJO,January,13
434,1670,Congreso,BRASIL,January,12
435,668,Congreso,MANZANA 66,January,12
436,270,Pacifico,Godoy Cruz y Libertador,January,12
448,308,PARQUE DEL BAJO,Catedral,January,12
483,486,Congreso,Montevideo,January,02
540,345,Constitución,Parque Lezama,January,26
541,1463,Constitución,MACACHA GUEMES,January,26
566,1921,Plaza Italia,PLAZA 24 DE SEPTIEMBRE,January,30
662,3443,Plaza Italia,Ecoparque,January,15
687,710,Constitución,Congreso,January,31
690,436,Constitución,ALSINA,January,31
705,2249,Congreso,VILLARROEL,January,31
744,1194,Constitución,JULIETA LANTERI,January,10
776,566,Constitución,Congreso,January,27
778,490,Plaza Italia,Pacifico,January,27
787,1678,Congreso,JULIETA LANTERI,January,27
802,1056,Pacifico,Plaza Gurruchaga,January,27
814,1858,Pacifico,PLAZA SABATTINI,January,27
816,509,Constitución,ALSINA,January,17
823,1611,Plaza Italia,Ecoparque,January,17
861,451,Constitución,ALSINA,January,11
869,368,Congreso,Paraná,January,11
873,865,Congreso,HOSPITAL RAMOS MEJIA,January,11
886,987,Constitución,Usina del Arte,January,11
891,278,Pacifico,Godoy Cruz y Libertador,January,11
896,2126,Pacifico,PLAZA BOLIVIA,January,11
909,9271,Congreso,Suipacha,January,19
910,439,Constitución,ALSINA,January,19
921,1495,Constitución,MACACHA GUEMES,January,19
949,483,Constitución,ALSINA,January,06
980,331,Congreso,TEATRO PICADERO,January,09
997,278,PARQUE DEL BAJO,Catedral,January,09
1002,1578,Constitución,Reconquista,January,09
1003,1640,Constitución,Constitución,January,09
1017,406,Constitución,ALSINA,January,24
1021,844,Pacifico,Ecoparque,January,24
1027,2509,PARQUE DEL BAJO,MACACHA GUEMES,January,24
1031,479,Congreso,MANZANA 66,January,24
1099,1100,Congreso,HOSPITAL ARGERICH,January,04
1120,825,Constitución,SEC. DE INNOVACION Y TRANSFORMACIÓN,January,04
1123,2992,Plaza Italia,De Los Ombues,January,07
1129,1776,Constitución,Catedral,January,07
1130,228,Constitución,Constitución,January,07
1139,328,Congreso,VIRREY CEVALLOS,January,20
1151,482,PARQUE DEL BAJO,FACULTAD DE INGENIERIA,January,20
1155,772,Constitución,9 de Julio,January,20
1215,518,Congreso,Catedral,January,16
1227,515,PARQUE DEL BAJO,FACULTAD DE INGENIERIA,January,16
1251,1197,Plaza Italia,Plaza Italia,January,25
1254,585,Congreso,Catedral,January,25
1256,711,Constitución,Catedral,January,25
1263,707,Constitución,9 de Julio,January,25
1270,836,Congreso,FACULTAD DE INGENIERIA,January,25
1277,473,Pacifico,Fitz Roy & Gorriti,January,25
1300,1519,Plaza Italia,Plaza Alemania,January,05
1301,1478,Plaza Italia,General Urquiza,January,05
1303,1081,Congreso,HUMBERTO 1°,January,05
1314,1154,Constitución,Ayacucho,January,05
1351,551,PARQUE DEL BAJO,FACULTAD DE INGENIERIA,January,23
1358,683,Constitución,Catedral,January,23
1359,558,Constitución,9 de Julio,January,23
1386,664,Constitución,Catedral,January,18
1397,530,Constitución,9 de Julio,January,18
1398,629,Constitución,9 de Julio,January,18
1399,474,Constitución,HUMBERTO 1°,January,18
1410,591,Plaza Italia,,January,18
1432,631,Constitución,Catedral,January,13
1438,811,Congreso,HUMBERTO 1°,January,13
1447,920,Pacifico,Fitz Roy & Gorriti,January,13
1478,1316,Constitución,Ayacucho,January,12
1495,545,Congreso,Catedral,January,02
1498,843,Pacifico,Hospital Rivadavia,January,02
1501,320,Congreso,Plaza Primero de Mayo,January,02
1504,4409,Plaza Italia,MACACHA GUEMES,January,02
1519,528,Constitución,CALIFORNIA,January,02
1564,759,Congreso,FACULTAD DE INGENIERIA,January,30
1589,731,Constitución,Catedral,January,30
1590,874,Constitución,Constitución,January,30
1591,415,Constitución,Plazoleta Colombia,January,30
1646,1544,Plaza Italia,Plaza Italia,January,15
1649,1007,PARQUE DEL BAJO,MARCELO T. DE ALVEAR,January,15
1690,443,Congreso,Catedral,January,31
1691,702,Constitución,Catedral,January,31
1699,756,Constitución,9 de Julio,January,31
1707,727,Congreso,FACULTAD DE INGENIERIA,January,31
1708,485,PARQUE DEL BAJO,FACULTAD DE INGENIERIA,January,31
1714,899,Congreso,Pedro Echague,January,31
1753,854,Constitución,Catedral,January,10
1788,807,Constitución,9 de Julio,January,27
1816,413,Constitución,HUMBERTO 1°,January,17
1818,327,PARQUE DEL BAJO,CORRIENTES,January,17
1821,567,PARQUE DEL BAJO,FACULTAD DE INGENIERIA,January,17
1826,341,Congreso,VIRREY CEVALLOS,January,17
1851,810,Congreso,HUMBERTO 1°,January,11
1861,1348,Plaza Italia,,January,11
1889,717,Constitución,Catedral,January,19
1894,955,Pacifico,Acuña de Figueroa,January,19
1899,590,Constitución,9 de Julio,January,19
1908,655,PARQUE DEL BAJO,FACULTAD DE INGENIERIA,January,19
1928,2641,Plaza Italia,Plaza Italia,January,06
1947,524,Constitución,CALIFORNIA,January,06
1967,1611,Congreso,FACULTAD DE PSICOLOGIA,January,09
1968,674,Congreso,MANZANA 66,January,09
1982,562,Constitución,CALIFORNIA,January,09
2020,699,Constitución,Catedral,January,24
2034,735,Constitución,9 de Julio,January,24
2041,1032,Congreso,FACULTAD DE INGENIERIA,January,24
